Intent,User_Input,Bot_Response
grammar,Did I make a mistake here: 'She don't like apple'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,Let's do a airport custom roleplay.,Awesome! Let's practice airport custom. What would you say in this situation?
greeting,Good afternoon,Hello! Ready to practice English?
grammar,Please fix my grammar: 'She don't like apple',You have a small mistake. It should be: '[Corrected version]'.
grammar,Did I make a mistake here: 'He playing soccer now'?,"Good try! However, the correct tense to use here is..."
grammar,Please fix my grammar: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
greeting,Hi,Hi there! How can I help your speaking skills today?
grammar,Please fix my grammar: 'He playing soccer now',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,I can't say 'schedule' correctly.,"To say 'schedule', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a coffee shop ordering situation?,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
pronunciation,I can't say 'specifically' correctly.,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,What is the correct pronunciation of 'comfortable'?,Focus on the vowel sound in 'comfortable'. Try saying it slowly.
pronunciation,How do I pronounce 'schedule'?,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'entrepreneur'?,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
grammar,Did I make a mistake here: 'He playing soccer now'?,You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'She don't like apple',Almost perfect! But native speakers usually say: '[Corrected version]'.
greeting,Hi bot,Greetings! Let's improve your English.
grammar,Check this sentence for me: 'I go to school yesterday',Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,Let's do a hotel check-in roleplay.,Great! Let's start the hotel check-in scenario. You go first.
greeting,Hi bot,Hi there! How can I help your speaking skills today?
greeting,Hi bot,Hello! Ready to practice English?
grammar,Please fix my grammar: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
roleplay,I want to practice airport custom.,Awesome! Let's practice airport custom. What would you say in this situation?
roleplay,Can we simulate a coffee shop ordering situation?,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
roleplay,I want to practice airport custom.,Awesome! Let's practice airport custom. What would you say in this situation?
roleplay,I want to practice hotel check-in.,Awesome! Let's practice hotel check-in. What would you say in this situation?
grammar,Please fix my grammar: 'We was at home',"Good try! However, the correct tense to use here is..."
grammar,Please fix my grammar: 'I go to school yesterday',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,Help me pronounce 'vegetable'.,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'comfortable'?,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
greeting,Hi,Hello! Ready to practice English?
pronunciation,I can't say 'schedule' correctly.,Focus on the vowel sound in 'schedule'. Try saying it slowly.
pronunciation,Help me pronounce 'specifically'.,"To say 'specifically', break it down into syllables. Listen to this and repeat."
grammar,Did I make a mistake here: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'comfortable'?,Focus on the vowel sound in 'comfortable'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'entrepreneur'?,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
grammar,Check this sentence for me: 'He playing soccer now',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,I can't say 'thorough' correctly.,The stress in 'thorough' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
greeting,Hey there,Hi there! How can I help your speaking skills today?
roleplay,Can we simulate a asking for directions situation?,Awesome! Let's practice asking for directions. What would you say in this situation?
pronunciation,How do I pronounce 'schedule'?,"To say 'schedule', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a asking for directions situation?,Great! Let's start the asking for directions scenario. You go first.
pronunciation,How do I pronounce 'specifically'?,"To say 'specifically', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'We was at home',"Good try! However, the correct tense to use here is..."
roleplay,I want to practice asking for directions.,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
pronunciation,Help me pronounce 'specifically'.,Focus on the vowel sound in 'specifically'. Try saying it slowly.
roleplay,Let's do a job interview roleplay.,Awesome! Let's practice job interview. What would you say in this situation?
pronunciation,What is the correct pronunciation of 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'We was at home',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,I can't say 'schedule' correctly.,"To say 'schedule', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
pronunciation,I can't say 'entrepreneur' correctly.,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'comfortable'?,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,How do I pronounce 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'entrepreneur'.,The stress in 'entrepreneur' falls on the first syllable. Try again!
grammar,Is this correct: 'I go to school yesterday'?,"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'specifically'?,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,I can't say 'literature' correctly.,"To say 'literature', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a asking for directions situation?,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
pronunciation,Help me pronounce 'entrepreneur'.,The stress in 'entrepreneur' falls on the first syllable. Try again!
greeting,Hey there,Hello! Ready to practice English?
grammar,Check this sentence for me: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'I go to school yesterday',"Good try! However, the correct tense to use here is..."
pronunciation,I can't say 'thorough' correctly.,"To say 'thorough', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'schedule'?,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,I can't say 'entrepreneur' correctly.,The stress in 'entrepreneur' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'vegetable'?,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'knowledge'.,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
greeting,Hi bot,Hello! Ready to practice English?
roleplay,I want to practice asking for directions.,Great! Let's start the asking for directions scenario. You go first.
pronunciation,What is the correct pronunciation of 'schedule'?,"To say 'schedule', break it down into syllables. Listen to this and repeat."
roleplay,I want to practice asking for directions.,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
roleplay,I want to practice asking for directions.,Great! Let's start the asking for directions scenario. You go first.
greeting,Hi bot,Hello! Ready to practice English?
grammar,Please fix my grammar: 'I have 20 years old',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Is this correct: 'She don't like apple'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Please fix my grammar: 'I have 20 years old',"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a airport custom situation?,Great! Let's start the airport custom scenario. You go first.
pronunciation,How do I pronounce 'thorough'?,"To say 'thorough', break it down into syllables. Listen to this and repeat."
pronunciation,I can't say 'schedule' correctly.,The stress in 'schedule' falls on the first syllable. Try again!
